room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
16977098,1309,113597007,Entire home/apt,,Boston,,Downtown,7,4.5,3,1.0,,228.0,,Furnished Apartment-Close Boston DowntownChinatown,2017-06-10 12:56:59.997762,42.353172,-71.06413,0101000020E6100000522CB7B41AC451C074EE76BD342D4540
15048978,1309,12581156,Entire home/apt,,Boston,,South End,12,5.0,4,1.0,,235.0,,Boston South End Private Roof Deck Urban Getaway,2017-06-10 12:56:59.995049,42.33616,-71.074793,0101000020E6100000103E9468C9C451C0971C774A072B4540
9207914,1309,47889779,Entire home/apt,,Boston,,South End,84,5.0,4,1.0,,265.0,,Luxury One Bed in Coolest Building!,2017-06-10 12:56:59.991349,42.345555,-71.061575,0101000020E610000014D044D8F0C351C011FC6F253B2C4540
15068710,1309,95297525,Entire home/apt,,Boston,,South Boston,19,5.0,2,1.0,,235.0,,"1 BR Lux Furn Apt, WiFi, On-Site Parking, & View",2017-06-10 12:56:59.989234,42.334965,-71.044631,0101000020E6100000D158FB3BDBC251C0FE261422E02A4540
16531634,1309,108741752,Entire home/apt,,Boston,,South End,46,5.0,6,2.0,,262.0,,Chic Boston Apartment- South End/Back Bay/Copley,2017-06-10 12:56:59.986885,42.340753,-71.075739,0101000020E6100000080264E8D8C451C0C78157CB9D2B4540
18077052,1309,1474891,Entire home/apt,,Boston,,Chinatown,10,4.5,4,1.0,,206.0,,Entire Apartment + Next to Subway + Great Location,2017-06-10 12:56:59.983010,42.352004,-71.059242,0101000020E61000002D23F59ECAC351C0D50792770E2D4540
1586883,1309,25188,Entire home/apt,,Boston,,Downtown,0,0.0,2,1.0,,195.0,,[1836] 1BR Lofts in the  Waterfront District,2017-06-10 12:56:41.653459,42.35315,-71.053593,0101000020E6100000DA9255116EC351C08C4AEA04342D4540
7106162,1309,24658662,Entire home/apt,,Boston,,Dorchester,1,0.0,4,2.0,,198.0,,Luxury Duplex Apartment,2017-06-10 12:56:34.750925,42.318783,-71.05251,0101000020E6100000A12DE7525CC351C0A9C29FE1CD284540
19029842,1309,38080223,Entire home/apt,,Boston,,Dorchester,0,0.0,6,3.0,,198.0,,Nice 3br 2Bath close Red Line & Airport.,2017-06-10 12:56:27.304084,42.3197,-71.059522,0101000020E61000001FD95C35CFC351C0FE43FAEDEB284540
2640459,1309,13424364,Entire home/apt,,Boston,,South End,22,4.5,2,1.0,,200.0,,Cozy South End 1br Brownstone,2017-06-10 12:54:56.950453,42.333565,-71.071412,0101000020E6100000AF22A30392C451C08D0B0742B22A4540
